day_of_year,solar_flux_w_m2,eclipse_duration_min,eclipse_fraction,beta_angle_deg,incidence_angle_deg,t_sunlit_c,t_eclipse_min_c,t_orbital_avg_c
108,1350.4506850476077,0.0,0.0,10.504308829115047,79.49569117088495,37.46568143167684,37.46568143167684,37.46568143167684
109,1349.7005595312137,0.0,0.0,10.86339828420768,79.13660171579231,37.42264842370025,37.42264842370025,37.42264842370025
110,1348.954378917645,0.0,0.0,11.219273084972743,78.78072691502726,37.37982397142048,37.37982397142048,37.37982397142048
111,1348.2123547899978,0.0,0.0,11.571827922331215,78.42817207766879,37.33722048931452,37.33722048931452,37.33722048931452
112,1347.4746970170113,0.0,0.0,11.920958469634662,78.07904153036534,37.29485031230769,37.29485031230769,37.29485031230769
113,1346.741613703164,0.0,0.0,12.26656141353716,77.73343858646284,37.25272569245925,37.25272569245925,37.25272569245925
114,1346.0133111398022,0.0,0.0,12.6085344845674,77.39146551543261,37.2108587956875,37.2108587956875,37.2108587956875
115,1345.2899937572931,0.0,0.0,12.946776487391842,77.05322351260817,37.169261698534626,37.169261698534626,37.169261698534626
116,1344.5718640782145,0.0,0.0,13.281187330760059,76.71881266923995,37.12794638497405,37.12794638497405,37.12794638497405
117,1343.8591226715673,0.0,0.0,13.611668057123348,76.38833194287665,37.08692474325824,37.08692474325824,37.08692474325824
118,1343.1519681080078,0.0,0.0,13.938120871917853,76.06187912808215,37.04620856280911,37.04620856280911,37.04620856280911
119,1342.4505969160991,0.0,0.0,14.260449172503554,75.73955082749644,37.00580953115053,37.00580953115053,37.00580953115053
120,1341.755203539569,0.0,0.0,14.578557576750548,75.42144242324946,36.96573923088363,36.96573923088363,36.96573923088363
121,1341.0659802955734,0.0,0.0,14.892351951264143,75.10764804873587,36.9260091367056,36.9260091367056,36.9260091367056
122,1340.3831173339559,0.0,0.0,15.201739439240452,74.79826056075956,36.886630612471606,36.886630612471606,36.886630612471606
123,1339.7068025975002,0.0,0.0,15.506628487944223,74.49337151205579,36.847614908300784,36.847614908300784,36.847614908300784
124,1339.0372217831546,0.0,0.0,15.806928875800747,74.19307112419926,36.808973157726086,36.808973157726086,36.808973157726086
125,1338.3745583042387,0.0,0.0,16.102551739093894,73.89744826090612,36.77071637488882,36.77071637488882,36.77071637488882
126,1337.718993253609,0.0,0.0,16.39340959826229,73.60659040173772,36.73285545177782,36.73285545177782,36.73285545177782
127,1337.0707053677768,0.0,0.0,16.67941638378597,73.32058361621404,36.69540115551308,36.69540115551308,36.69540115551308
128,1336.4298709919726,0.0,0.0,16.960487461655678,73.03951253834434,36.65836412567501,36.65836412567501,36.65836412567501
129,1335.7966640461384,0.0,0.0,17.236539658417474,72.76346034158253,36.62175487167838,36.62175487167838,36.62175487167838
130,1335.1712559918515,0.0,0.0,17.507491285785086,72.49250871421492,36.58558377019227,36.58558377019227,36.58558377019227
131,1334.5538158001468,0.0,0.0,17.77326216481279,72.22673783518721,36.5498610626052,36.5498610626052,36.5498610626052
132,1333.944509920249,0.0,0.0,18.03377364962163,71.96622635037836,36.514596852536044,36.514596852536044,36.514596852536044
133,1333.343502249185,0.0,0.0,18.28894865067203,71.71105134932797,36.4798011033908,36.4798011033908,36.4798011033908
134,1332.750954102274,0.0,0.0,18.538711657575806,71.4612883424242,36.445483635965275,36.445483635965275,36.445483635965275
135,1332.1670241844788,0.0,0.0,18.78298876144091,71.2170112385591,36.41165412609371,36.41165412609371,36.41165412609371
136,1331.591868562609,0.0,0.0,19.02170767674228,70.97829232325772,36.37832210234359,36.37832210234359,36.37832210234359
137,1331.0256406383576,0.0,0.0,19.25479776271225,70.74520223728776,36.34549694375613,36.34549694375613,36.34549694375613
138,1330.4684911221614,0.0,0.0,19.482190044244327,70.51780995575567,36.313187877633595,36.313187877633595,36.313187877633595
139,1329.920568007876,0.0,0.0,19.70381723230401,70.29618276769598,36.28140397737212,36.28140397737212,36.28140397737212
140,1329.3820165482389,0.0,0.0,19.919613743840717,70.08038625615929,36.25015416034097,36.25015416034097,36.25015416034097
141,1328.852979231124,0.0,0.0,20.12951572119486,69.87048427880515,36.21944718580784,36.21944718580784,36.21944718580784
142,1328.3335957565607,0.0,0.0,20.33346105099433,69.66653894900568,36.18929165291058,36.18929165291058,36.18929165291058
143,1327.8240030145068,0.0,0.0,20.531389382534883,69.46861061746513,36.159695998674636,36.159695998674636,36.159695998674636
144,1327.3243350633684,0.0,0.0,20.723242145638846,69.27675785436116,36.13066849607651,36.13066849607651,36.13066849607651
145,1326.8347231092437,0.0,0.0,20.908962567987007,69.091037432013,36.10221725215405,36.10221725215405,36.10221725215405
146,1326.3552954858783,0.0,0.0,21.088495691918446,68.91150430808156,36.074350206161284,36.074350206161284,36.074350206161284
147,1325.8861776353267,0.0,0.0,21.261788390693376,68.73821160930663,36.04707512777043,36.04707512777043,36.04707512777043
148,1325.4274920892942,0.0,0.0,21.428789384214213,68.57121061578579,36.02039961531926,36.02039961531926,36.02039961531926
149,1324.979358451154,0.0,0.0,21.589449254200193,68.41055074579981,35.99433109410376,35.99433109410376,35.99433109410376
150,1324.541893378621,0.0,0.0,21.743720458811016,68.25627954118899,35.96887681471719,35.96887681471719,35.96887681471719
151,1324.1152105670733,0.0,0.0,21.891557346715253,68.10844265328474,35.94404385143423,35.94404385143423,35.94404385143423
152,1323.6994207335003,0.0,0.0,22.032916170599307,67.96708382940069,35.9198391006405,35.9198391006405,35.9198391006405
153,1323.2946316010753,0.0,0.0,22.167755100112945,67.83224489988706,35.89626927930783,35.89626927930783,35.89626927930783
154,1322.900947884326,0.0,0.0,22.296034234247575,67.70396576575243,35.87334092351438,35.87334092351438,35.87334092351438
155,1322.5184712749033,0.0,0.0,22.417715613143596,67.5822843868564,35.851060387009966,35.851060387009966,35.851060387009966
156,1322.147300427924,0.0,0.0,22.53276322932332,67.46723677067669,35.82943383982666,35.82943383982666,35.82943383982666
157,1321.7875309488832,0.0,0.0,22.641143038346186,67.35885696165383,35.80846726693392,35.80846726693392,35.80846726693392
158,1321.4392553811194,0.0,0.0,22.742822968883043,67.25717703111697,35.78816646693855,35.78816646693855,35.78816646693855
159,1321.1025631938205,0.0,0.0,22.837772932206573,67.16222706779344,35.768537050829536,35.768537050829536,35.768537050829536
160,1320.7775407705608,0.0,0.0,22.925964831095023,67.07403516890498,35.74958444076725,35.74958444076725,35.74958444076725
161,1320.464271398357,0.0,0.0,23.00737256814665,66.99262743185336,35.73131386891686,35.73131386891686,35.73131386891686
162,1320.1628352572282,0.0,0.0,23.081972053502323,66.91802794649769,35.713730376326396,35.713730376326396,35.713730376326396
163,1319.8733094102547,0.0,0.0,23.14974121197415,66.85025878802585,35.69683881184881,35.69683881184881,35.69683881184881
164,1319.5957677941203,0.0,0.0,23.21065998957783,66.78934001042218,35.68064383110766,35.68064383110766,35.68064383110766
165,1319.3302812101313,0.0,0.0,23.26471035946698,66.73528964053303,35.66514989550768,35.66514989550768,35.66514989550768
166,1319.0769173156928,0.0,0.0,23.31187632726757,66.68812367273243,35.65036127128786,35.65036127128786,35.65036127128786
167,1318.8357406162513,0.0,0.0,23.352143935810894,66.64785606418911,35.63628202861946,35.63628202861946,35.63628202861946
168,1318.6068124576736,0.0,0.0,23.38550126926374,66.61449873073626,35.62291604074653,35.62291604074653,35.62291604074653
169,1318.3901910190657,0.0,0.0,23.41193845665448,66.58806154334553,35.61026698317056,35.61026698317056,35.61026698317056
170,1318.1859313060181,0.0,0.0,23.43144767479402,66.568552325206,35.5983383328782,35.5983383328782,35.5983383328782
171,1317.994085144272,0.0,0.0,23.444023150590844,66.55597684940916,35.58713336761224,35.58713336761224,35.58713336761224
172,1317.8147011737972,0.0,0.0,23.44966116275935,66.55033883724064,35.57665516518574,35.57665516518574,35.57665516518574
